ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
617065557,Photo,White-bearded Manakin,Manacus manacus,,Corey Callaghan,2024-04-01,2024,4,1,542,Colombia,CO-MAG,Magdalena,,PNN Tayrona--Sector Cañaveral,11.2962611,-73.9140844,"",,Unspecified,"","",,,,,,,S166886726,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1574,2284
616990979,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2985,4478
616990965,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2968,4782
616990969,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2968,4782
616990972,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3049,4573
616990973,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3041,4562
616990961,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2968,4782
616990924,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2715,4374
616990914,Photo,White-bearded Manakin,Manacus manacus,,Devin Griffiths,2024-03-13,2024,3,13,617,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164750682,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3055,4584
616961378,Photo,White-bearded Manakin,Manacus manacus,,Richard Dunn,2022-08-11,2022,8,11,830,Brazil,BR-SP,São Paulo,,Ubatuba--Fazenda Angelim,-23.3972349,-45.0641004,"",,Unspecified,"","",,,,,,,S116742454,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1333,2000
616961379,Photo,White-bearded Manakin,Manacus manacus,,Richard Dunn,2022-08-11,2022,8,11,830,Brazil,BR-SP,São Paulo,,Ubatuba--Fazenda Angelim,-23.3972349,-45.0641004,"",,Unspecified,"","",,,,,,,S116742454,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1333,2000
616895567,Photo,White-bearded Manakin,Manacus manacus,,David Lang,2019-08-17,2019,8,17,1559,Brazil,BR-BA,Bahia,,"(-12.5484,-41.4090)",-12.5484470,-41.4089500,Adult Male – 1,"",Unspecified,"","",,,,,,,S59059718,"",,,,Photos ,Manacus manacus,whbman1,Species,15475,,3.00,1,Habitat,3400,5100
616895566,Photo,White-bearded Manakin,Manacus manacus,,David Lang,2019-08-17,2019,8,17,1559,Brazil,BR-BA,Bahia,,"(-12.5484,-41.4090)",-12.5484470,-41.4089500,Adult Male – 1,"",Unspecified,"","",,,,,,,S59059718,"",,,,Photos ,Manacus manacus,whbman1,Species,15475,,3.00,1,Habitat,3000,4500
616878578,Photo,White-bearded Manakin,Manacus manacus,,Michael J Good,2024-04-03,2024,4,3,1311,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,Adult Male – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S167084428,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,"",2323,2406
616878579,Photo,White-bearded Manakin,Manacus manacus,,Michael J Good,2024-04-03,2024,4,3,1311,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,Adult Male – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S167084428,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,"",2212,2544
616878577,Photo,White-bearded Manakin,Manacus manacus,,Michael J Good,2024-04-03,2024,4,3,1311,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,Adult Male – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S167084428,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,1,"",2506,2544
616878580,Photo,White-bearded Manakin,Manacus manacus,,Michael J Good,2024-04-03,2024,4,3,1311,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,Adult Female – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S167084428,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,1,"",2232,2598
616878576,Photo,White-bearded Manakin,Manacus manacus,,Michael J Good,2024-04-03,2024,4,3,1311,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S167084428,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1672,1748
616875873,Photo,White-bearded Manakin,Manacus manacus,,steve b,2024-04-03,2024,4,3,1424,Brazil,BR-BA,Bahia,,Lençóis--Barro Branco,-12.5494875,-41.4057108,"",,Unspecified,"","",,,,,,,S167082957,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,1604,2400
616846516,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,1430,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165878389,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1978,2962
616846515,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,1430,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165878389,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2091,3138
616846374,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,838,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165824266,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2298,3445
616846373,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,838,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165824266,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2248,3370
616846317,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,621,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165825008,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1972,2956
616846321,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,621,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165825008,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2813,4217
616846320,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,621,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165825008,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2637,3954
616846319,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,621,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165825008,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2436,3653
616846322,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,621,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165825008,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2242,3364
616846318,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-24,2024,3,24,621,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165825008,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2618,3929
616846041,Photo,White-bearded Manakin,Manacus manacus,,Abram Fleishman,2024-03-23,2024,3,23,1154,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,"Blanchisseuse Road, Tunapuna/Piarco Regional Corporation, TT (10.7, -61.291)",10.6998204,-61.2907407,"",,Unspecified,"","",,,,,,,S165878078,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1231,1845
616826418,Photo,White-bearded Manakin,Manacus manacus,,John C. Mittermeier,2024-03-11,2024,3,11,911,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S164517947,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,2148,3218
616826414,Photo,White-bearded Manakin,Manacus manacus,,John C. Mittermeier,2024-03-11,2024,3,11,911,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S164517947,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1986,2974
616810359,Photo,White-bearded Manakin,Manacus manacus,,David and Judy Smith,2024-01-19,2024,1,19,630,Colombia,CO-MET,Meta,,Bosque Bavaria,4.1829800,-73.6518300,"",,Unspecified,"","",,,,,,,S159295147,"",,,,"F + clicks; M",Manacus manacus,whbman1,Species,15475,,.00,0,,2025,2700
616688535,Photo,White-bearded Manakin,Manacus manacus,,Clarisse Odebrecht,2024-03-29,2024,3,29,1602,Brazil,BR-SC,Santa Catarina,,Balneário Camboriú--Parque Ecológico Raimundo Gonçález Malta,-27.0111640,-48.6381540,"",,Unspecified,"","",,,,,,,S166383747,"",,,,Fêmea. Fotografado,Manacus manacus,whbman1,Species,15475,,5.00,1,,3422,4429
616688533,Photo,White-bearded Manakin,Manacus manacus,,Clarisse Odebrecht,2024-03-29,2024,3,29,1602,Brazil,BR-SC,Santa Catarina,,Balneário Camboriú--Parque Ecológico Raimundo Gonçález Malta,-27.0111640,-48.6381540,"",,Unspecified,"","",,,,,,,S166383747,"",,,,Fêmea. Fotografado,Manacus manacus,whbman1,Species,15475,,.00,0,,3422,4429
616688532,Photo,White-bearded Manakin,Manacus manacus,,Clarisse Odebrecht,2024-03-29,2024,3,29,1602,Brazil,BR-SC,Santa Catarina,,Balneário Camboriú--Parque Ecológico Raimundo Gonçález Malta,-27.0111640,-48.6381540,"",,Unspecified,"","",,,,,,,S166383747,"",,,,Fêmea. Fotografado,Manacus manacus,whbman1,Species,15475,,.00,0,,3422,4429
616688534,Photo,White-bearded Manakin,Manacus manacus,,Clarisse Odebrecht,2024-03-29,2024,3,29,1602,Brazil,BR-SC,Santa Catarina,,Balneário Camboriú--Parque Ecológico Raimundo Gonçález Malta,-27.0111640,-48.6381540,"",,Unspecified,"","",,,,,,,S166383747,"",,,,Fêmea. Fotografado,Manacus manacus,whbman1,Species,15475,,.00,0,,3422,4429
616688285,Photo,White-bearded Manakin,Manacus manacus,,Miguel Ángel  Sánchez Bautista,2022-12-29,2022,12,29,1332,Colombia,CO-CAL,Caldas,,RN Bellavista,5.3301486,-74.9202240,"",,Unspecified,"","",,,,,,,S125004536,"",,,,Lek presente,Manacus manacus,whbman1,Species,15475,,.00,0,,1998,2997
616688284,Photo,White-bearded Manakin,Manacus manacus,,Miguel Ángel  Sánchez Bautista,2022-12-29,2022,12,29,1332,Colombia,CO-CAL,Caldas,,RN Bellavista,5.3301486,-74.9202240,"",,Unspecified,"","",,,,,,,S125004536,"",,,,Lek presente,Manacus manacus,whbman1,Species,15475,,.00,0,,1923,2884
616681262,Photo,White-bearded Manakin,Manacus manacus,,Pedro Behne,2024-03-29,2024,3,29,1025,Brazil,BR-SC,Santa Catarina,,"Ponte Ribeirão das Canas,  Rua Theobaldo Anselmo Sansão,  Gaspar - Santa Catarina, BR (-26,92, -48,879)",-26.9202400,-48.8792283,"",,Unspecified,"","",,,,,,,S166525785,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1426,4032
616681261,Photo,White-bearded Manakin,Manacus manacus,,Pedro Behne,2024-03-29,2024,3,29,1025,Brazil,BR-SC,Santa Catarina,,"Ponte Ribeirão das Canas,  Rua Theobaldo Anselmo Sansão,  Gaspar - Santa Catarina, BR (-26,92, -48,879)",-26.9202400,-48.8792283,"",,Unspecified,"","",,,,,,,S166525785,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1987,1691
616670279,Photo,White-bearded Manakin,Manacus manacus,,Subodh Ghonge,2024-03-12,2024,3,12,1024,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164581191,"",,,,In a lek,Manacus manacus,whbman1,Species,15475,,.00,0,,2594,3891
616670278,Photo,White-bearded Manakin,Manacus manacus,,Subodh Ghonge,2024-03-12,2024,3,12,1024,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164581191,"",,,,In a lek,Manacus manacus,whbman1,Species,15475,,.00,0,,2762,4144
616670276,Photo,White-bearded Manakin,Manacus manacus,,Subodh Ghonge,2024-03-12,2024,3,12,1024,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164581191,"",,,,In a lek,Manacus manacus,whbman1,Species,15475,,.00,0,,2352,3528
616670277,Photo,White-bearded Manakin,Manacus manacus,,Subodh Ghonge,2024-03-12,2024,3,12,1024,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S164581191,"",,,,In a lek,Manacus manacus,whbman1,Species,15475,,.00,0,,2378,3567
616669295,Photo,White-bearded Manakin,Manacus manacus,,Subodh Ghonge,2024-03-12,2024,3,12,941,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Blanchisseuse Road,10.7403919,-61.3181305,"",,Unspecified,"","",,,,,,,S164581192,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2390,3585
616668892,Photo,White-bearded Manakin,Manacus manacus,,Edu no Mato,2024-03-30,2024,3,30,539,Brazil,BR-SP,São Paulo,,PE Xixová-Japuí,-23.9858941,-46.3848447,"",,Unspecified,"","",,,,,,,S166474323,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2336,3504
616668695,Photo,White-bearded Manakin,Manacus manacus,,Edu no Mato,2024-03-30,2024,3,30,539,Brazil,BR-SP,São Paulo,,PE Xixová-Japuí,-23.9858941,-46.3848447,"",,Unspecified,"","",,,,,,,S166474323,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2336,3504
616668676,Photo,White-bearded Manakin,Manacus manacus,,Edu no Mato,2024-03-30,2024,3,30,539,Brazil,BR-SP,São Paulo,,PE Xixová-Japuí,-23.9858941,-46.3848447,"",,Unspecified,"","",,,,,,,S166474323,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2336,3504
616668675,Photo,White-bearded Manakin,Manacus manacus,,Edu no Mato,2024-03-30,2024,3,30,539,Brazil,BR-SP,São Paulo,,PE Xixová-Japuí,-23.9858941,-46.3848447,"",,Unspecified,"","",,,,,,,S166474323,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2336,3504
616656324,Photo,White-bearded Manakin,Manacus manacus,,Luis Felipe Zuñiga Caviedes/Horses Cartagena tours,2024-03-29,2024,3,29,1132,Colombia,CO-MAG,Magdalena,,Finca la Gallega,11.1377430,-74.1175380,"",,Unspecified,"","",,,,,,,S166361918,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2942,3921
616656328,Photo,White-bearded Manakin,Manacus manacus,,Luis Felipe Zuñiga Caviedes/Horses Cartagena tours,2024-03-29,2024,3,29,1132,Colombia,CO-MAG,Magdalena,,Finca la Gallega,11.1377430,-74.1175380,"",,Unspecified,"","",,,,,,,S166361918,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3498,4661
616656327,Photo,White-bearded Manakin,Manacus manacus,,Luis Felipe Zuñiga Caviedes/Horses Cartagena tours,2024-03-29,2024,3,29,1132,Colombia,CO-MAG,Magdalena,,Finca la Gallega,11.1377430,-74.1175380,"",,Unspecified,"","",,,,,,,S166361918,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3034,4045
616656325,Photo,White-bearded Manakin,Manacus manacus,,Luis Felipe Zuñiga Caviedes/Horses Cartagena tours,2024-03-29,2024,3,29,1132,Colombia,CO-MAG,Magdalena,,Finca la Gallega,11.1377430,-74.1175380,"",,Unspecified,"","",,,,,,,S166361918,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2857,3809
616656326,Photo,White-bearded Manakin,Manacus manacus,,Luis Felipe Zuñiga Caviedes/Horses Cartagena tours,2024-03-29,2024,3,29,1132,Colombia,CO-MAG,Magdalena,,Finca la Gallega,11.1377430,-74.1175380,"",,Unspecified,"","",,,,,,,S166361918,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2714,3619
616656323,Photo,White-bearded Manakin,Manacus manacus,,Luis Felipe Zuñiga Caviedes/Horses Cartagena tours,2024-03-29,2024,3,29,1132,Colombia,CO-MAG,Magdalena,,Finca la Gallega,11.1377430,-74.1175380,"",,Unspecified,"","",,,,,,,S166361918,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3888,5184
616641089,Photo,White-bearded Manakin,Manacus manacus,,Juan Fernando Giraldo Lopera,2024-03-26,2024,3,26,619,Colombia,CO-ANT,Antioquia,,"Parque Simon Bolivar, San Carlos",6.1890000,-74.9920000,"",,Unspecified,"","",,,,,,,S166053388,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1280,722
616629031,Photo,White-bearded Manakin,Manacus manacus,,Luiz Anjos,2021-05-22,2021,5,22,813,Brazil,BR-SC,Santa Catarina,,Joinville--ETE Jarivatuba,-26.3371853,-48.7915640,Adult Male – 1,,Unspecified,"","",,,,,,,S166349785,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2929,2944
616604515,Photo,White-bearded Manakin,Manacus manacus,,Edwar H. Guarín (@edwarhguarin),2024-03-02,2024,3,2,1400,Colombia,CO-ANT,Antioquia,,NatureRe La María,6.3945366,-74.6855451,"",,Unspecified,"","",,,,,,,S166292815,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2204,3213
616602786,Photo,White-bearded Manakin,Manacus manacus,,Cristian Cufiño,2024-01-20,2024,1,20,559,Colombia,CO-CAS,Casanare,,"Camino Alto El Silvadero, Monterrey, Casanare, CO (4,839, -72,972)",4.8390122,-72.9723890,"",,Unspecified,"","",,,,,,,S166104668,"",,,,En sitios de despliegue,Manacus manacus,whbman1,Species,15475,,.00,0,,3888,5184
616593655,Photo,White-bearded Manakin,Manacus manacus,,Katrina Moilanen,2024-02-19,2024,2,19,730,Ecuador,EC-P,Pichincha,,Rio Silanche Bird Sanctuary,0.1451850,-79.1414713,"",,Unspecified,"","",,,,,,,S162304304,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2418,3385
616588566,Photo,White-bearded Manakin,Manacus manacus,,R M,2024-03-18,2024,3,18,920,Colombia,CO-CUN,Cundinamarca,,Laguna El Tabacal,5.0263256,-74.3283141,"",,Unspecified,"","",,,,,,,S165318388,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,2667,4000
616588565,Photo,White-bearded Manakin,Manacus manacus,,R M,2024-03-18,2024,3,18,920,Colombia,CO-CUN,Cundinamarca,,Laguna El Tabacal,5.0263256,-74.3283141,"",,Unspecified,"","",,,,,,,S165318388,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,2667,4000
616588567,Photo,White-bearded Manakin,Manacus manacus,,R M,2024-03-18,2024,3,18,920,Colombia,CO-CUN,Cundinamarca,,Laguna El Tabacal,5.0263256,-74.3283141,"",,Unspecified,"","",,,,,,,S165318388,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,2667,4000
616584487,Photo,White-bearded Manakin,Manacus manacus,,Charlene Pringle,2024-03-25,2024,3,25,1345,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165967777,"",,,,All males displaying at the lek,Manacus manacus,whbman1,Species,15475,,.00,0,,3888,5184
616584488,Photo,White-bearded Manakin,Manacus manacus,,Charlene Pringle,2024-03-25,2024,3,25,1345,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S165967777,"",,,,All males displaying at the lek,Manacus manacus,whbman1,Species,15475,,.00,0,,3888,5184
616566550,Photo,White-bearded Manakin,Manacus manacus,,Robert Díaz,2024-03-25,2024,3,25,702,Colombia,CO-AMA,Amazonas,,Sendero Saltarines,-4.0678922,-69.9776094,"",,Unspecified,"","",,,,,,,S166068457,"",,,,Macho. Auditivo y visual,Manacus manacus,whbman1,Species,15475,,5.00,2,,858,1072
616562215,Photo,White-bearded Manakin,Manacus manacus,,Bob Friedrichs,2024-03-05,2024,3,5,1534,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S163829132,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,963,1284
